src,dst,page_id,score,note
01_Chapter 1.wav,p1_image_1.wav,p1_image_1,0.996,RENAMED
02_Chapter 1.wav,p2_q1.wav,p2_q1,0.966,RENAMED
03_Chapter 1.wav,p3_image_2a.wav,p3_image_2a,1.000,RENAMED
04_Chapter 1.wav,p3_image_2b.wav,p3_image_2b,1.000,RENAMED
05_Chapter 1.wav,p4_q2.wav,p4_q2,1.000,RENAMED
06_Chapter 1.wav,p5_image_3a.wav,p5_image_3a,1.000,RENAMED
07_Chapter 1.wav,p5_image_3b.wav,p5_image_3b,1.000,RENAMED
08_Chapter 1.wav,p6_q3.wav,p6_q3,1.000,RENAMED
09_Chapter 1.wav,p7_image_4a.wav,p7_image_4a,1.000,RENAMED
10_Chapter 1.wav,p7_image_4b.wav,p7_image_4b,1.000,RENAMED
11_Chapter 1.wav,p8_q4.wav,p8_q4,1.000,RENAMED
12_Chapter 1.wav,p9_image_5a.wav,p9_image_5a,0.990,RENAMED
13_Chapter 1.wav,p9_image_5b.wav,p9_image_5b,1.000,RENAMED
14_Chapter 1.wav,p10_q5.wav,p10_q5,0.974,RENAMED
15_Chapter 1.wav,p11_image_6a.wav,p11_image_6a,1.000,RENAMED
16_Chapter 1.wav,p11_image_6b.wav,p11_image_6b,0.992,RENAMED
17_Chapter 1.wav,p12_q6.wav,p12_q6,1.000,RENAMED
18_Chapter 1.wav,p15_image_8b.wav,p15_image_8b,0.948,RENAMED
19_Chapter 1.wav,p13_image_7b.wav,p13_image_7b,1.000,RENAMED
20_Chapter 1.wav,p14_q7.wav,p14_q7,0.970,RENAMED
21_Chapter 1.wav,p15_image_8a.wav,p15_image_8a,1.000,RENAMED
22_Chapter 1.wav,p15_image_8b__dup2.wav,p15_image_8b,1.000,RENAMED
23_Chapter 1.wav,p16_q8.wav,p16_q8,1.000,RENAMED
24_Chapter 1.wav,p17_image_9a.wav,p17_image_9a,0.989,RENAMED
25_Chapter 1.wav,p17_image_9b.wav,p17_image_9b,1.000,RENAMED
26_Chapter 1.wav,p18_q9.wav,p18_q9,1.000,RENAMED
27_Chapter 1.wav,p19_image_10a.wav,p19_image_10a,0.997,RENAMED
28_Chapter 1.wav,p19_image_10b.wav,p19_image_10b,0.998,RENAMED
29_Chapter 1.wav,p20_q10.wav,p20_q10,1.000,RENAMED
30_Chapter 1.wav,p21_result10_a.wav,p21_result10_a,1.000,RENAMED
31_Chapter 1.wav,p21_result10_b.wav,p21_result10_b,0.992,RENAMED
32_Chapter 1.wav,p22_gate.wav,p22_gate,0.972,RENAMED
