src,dst,page_id,score,note
001_Chapter 1.wav,game_over.wav,game_over,1.000,RENAMED
002_Chapter 1.wav,p001_prologue.wav,p001_prologue,1.000,RENAMED
003_Chapter 1.wav,p002_library_safe.wav,p002_library_safe,0.997,RENAMED
004_Chapter 1.wav,p003_loadout.wav,p003_loadout,0.998,RENAMED
005_Chapter 1.wav,p004_library_search.wav,p004_library_search,0.978,RENAMED
006_Chapter 1.wav,p005_exit_library.wav,p005_exit_library,0.997,RENAMED
007_Chapter 1.wav,p006_back_alleys.wav,p006_back_alleys,0.998,RENAMED
008_Chapter 1.wav,p006_main_street.wav,p006_main_street,0.998,RENAMED
009_Chapter 1.wav,p007_crossfire_action.wav,p007_crossfire_action,0.995,RENAMED
010_Chapter 1.wav,p008_metro_stairs.wav,p008_metro_stairs,1.000,RENAMED
011_Chapter 1.wav,p009_rooftop_ladder.wav,p009_rooftop_ladder,1.000,RENAMED
012_Chapter 1.wav,p010_alley_tripwire.wav,p010_alley_tripwire,1.000,RENAMED
013_Chapter 1.wav,p010_crossfire_wounded.wav,p010_crossfire_wounded,0.983,RENAMED
014_Chapter 1.wav,p011_after_crossfire.wav,p011_after_crossfire,1.000,RENAMED
015_Chapter 1.wav,p013_tunnel_signs.wav,p013_tunnel_signs,0.992,RENAMED
016_Chapter 1.wav,p014_mezzanine_market.wav,p014_mezzanine_market,0.995,RENAMED
017_Chapter 1.wav,p015_rooftop_run.wav,p015_rooftop_run,0.986,RENAMED
018_Chapter 1.wav,p016_skylight_drop.wav,p016_skylight_drop,1.000,RENAMED
019_Chapter 1.wav,p017_tripwire_disarm_action.wav,p017_tripwire_disarm_action,1.000,RENAMED
020_Chapter 1.wav,p019_tripwire_spotted.wav,p019_tripwire_spotted,1.000,RENAMED
021_Chapter 1.wav,p020_river_district.wav,p020_river_district,1.000,RENAMED
022_Chapter 1.wav,p021_generator_room.wav,p021_generator_room,0.987,RENAMED
023_Chapter 1.wav,p021a_sabotage_action.wav,p021a_sabotage_action,1.000,RENAMED
024_Chapter 1.wav,p021b_sabotage_wounded.wav,p021b_sabotage_wounded,0.994,RENAMED
025_Chapter 1.wav,p022_service_corridor.wav,p022_service_corridor,1.000,RENAMED
026_Chapter 1.wav,p025_rooftop_jump_action.wav,p025_rooftop_jump_action,0.997,RENAMED
027_Chapter 1.wav,p027_rooftop_tether.wav,p027_rooftop_tether,0.977,RENAMED
028_Chapter 1.wav,p028_rooftop_tether_fail.wav,p028_rooftop_tether_fail,0.995,RENAMED
029_Chapter 1.wav,p030_bridge_approach.wav,p030_bridge_approach,1.000,RENAMED
030_Chapter 1.wav,p031_overpass_detour.wav,p031_overpass_detour,1.000,RENAMED
